V1,V2,V3
359.5583,-10.3843,-5656
359.575,-10.3843,-5596
359.5916,-10.3843,-5538
359.6083,-10.3843,-5492
359.625,-10.3843,-5470
359.6416,-10.3843,-5474
359.6583,-10.3843,-5494
359.675,-10.3843,-5524
359.6917,-10.3843,-5556
359.7083,-10.3843,-5578
359.725,-10.3843,-5584
359.7416,-10.3843,-5570
359.7583,-10.3843,-5534
359.775,-10.3843,-5488
359.7917,-10.3843,-5436
359.8083,-10.3843,-5401
359.825,-10.3843,-5392
359.8416,-10.3843,-5410
359.8583,-10.3843,-5446
359.875,-10.3843,-5490
359.8916,-10.3843,-5538
359.9083,-10.3843,-5578
359.925,-10.3843,-5606
359.9417,-10.3843,-5620
359.9583,-10.3843,-5618
359.975,-10.3843,-5594
359.9916,-10.3843,-5558
359.5083,-10.4007,-5736
359.525,-10.4007,-5720
359.5417,-10.4007,-5686
359.5583,-10.4007,-5640
359.575,-10.4007,-5594
359.5916,-10.4007,-5548
359.6083,-10.4007,-5510
359.625,-10.4007,-5492
359.6416,-10.4007,-5490
359.6583,-10.4007,-5504
359.675,-10.4007,-5528
359.6917,-10.4007,-5552
359.7083,-10.4007,-5570
359.725,-10.4007,-5574
359.7416,-10.4007,-5556
359.7583,-10.4007,-5520
359.775,-10.4007,-5472
359.7917,-10.4007,-5422
359.8083,-10.4007,-5392
359.825,-10.4007,-5392
359.8416,-10.4007,-5414
359.8583,-10.4007,-5454
359.875,-10.4007,-5506
359.8916,-10.4007,-5552
359.9083,-10.4007,-5588
359.925,-10.4007,-5612
359.9417,-10.4007,-5616
359.9583,-10.4007,-5600
359.975,-10.4007,-5568
359.9916,-10.4007,-5526
359.5083,-10.417,-5698
359.525,-10.417,-5682
359.5417,-10.417,-5656
359.5583,-10.417,-5620
359.575,-10.417,-5586
359.5916,-10.417,-5550
359.6083,-10.417,-5524
359.625,-10.417,-5508
359.6416,-10.417,-5504
359.6583,-10.417,-5512
359.675,-10.417,-5524
359.6917,-10.417,-5540
