Latitude,Longitude,2010,1990,1970
30.2,67,874,414,145
33.6,73.07,"2,098","1,087",550
8.97,-79.53,"1,389",847,455
-25.27,-57.67,"2,073","1,091",552
-16.4,-71.54,791,564,274
-12.05,-77.05,"8,950","5,837","2,980"
10.32,123.9,839,612,349
7.1,125.63,"1,523",854,395
14.58,121,"11,654","7,973","3,534"
6.92,122.08,856,444,200
50.06,19.96,756,735,578
52.26,21.02,"1,718","1,628","1,300"
38.72,-9.14,"2,825","2,537","1,817"
41.15,-8.62,"1,355","1,164",924
18.41,-66.06,"2,478","2,327",915
37.32,126.82,769,241,14
37.5,126.78,915,651,84
35.1,129.04,"3,398","3,778","1,813"
35.87,128.6,"2,450","2,215","1,048"
36.32,127.42,"1,520","1,036",400
37.7,126.9,968,241,97
35.15,126.92,"1,486","1,122",487
37.28,127.45,"2,601","1,785",627
37.26,127.9,962,534,195
37.57,127,"9,751","10,544","5,312"
37.28,127.02,"1,140",628,168
35.54,129.32,"1,089",673,154
37.23,127.21,738,186,97
44.44,26.1,"1,935","2,040","1,396"
55.2,61.41,"1,128","1,129",881
55.75,49.13,"1,142","1,092",875
45.03,38.98,741,623,469
56.01,92.79,972,910,655
55.75,37.62,"11,472","8,987","7,106"
56.32,44,"1,253","1,420","1,178"
55.03,82.92,"1,472","1,430","1,168"
55,73.4,"1,153","1,144",830
58,56.25,992,"1,076",857
47.24,39.71,"1,089","1,022",796
53.2,50.15,"1,165","1,244","1,055"
59.89,30.26,"4,842","4,989","3,980"
51.57,46.03,839,901,763
54.73,55.93,"1,062","1,078",782
48.8,44.59,"1,021",999,823
51.72,39.26,888,880,666
56.86,60.58,"1,348","1,350","1,035"
-1.96,30.04,961,219,59
26.43,50.11,909,409,84
24.47,39.61,"1,106",529,129
24.64,46.77,"5,227","2,325",408
21.52,39.22,"3,452","1,742",348
21.43,39.84,"1,543",856,272
14.72,-17.48,"2,926","1,405",610
44.81,20.47,"1,133","1,130",878
8.49,-13.23,910,529,206
1.3,103.85,"5,086","3,017","2,074"
2.07,45.37,"1,426","1,035",272
-33.92,18.42,"3,492","2,155","1,114"
-29.85,31.02,"2,954","1,723",856
-26.25,28.33,"3,284","1,531",898
-26.2,28.08,"3,763","1,898","1,444"
-33.97,25.58,"1,097",828,477
-25.75,28.2,"1,468",911,565
-26.68,27.93,"1,174",743,306
41.4,2.17,"5,488","4,101","3,482"
40.42,-3.71,"6,405","4,414","3,521"
39.48,-0.39,799,776,645
15.59,32.53,"4,516","2,360",657
59.33,18.05,"1,360","1,038","1,035"
47.37,8.55,"1,183","1,006",711
33.5,36.31,"2,582","1,691",914
36.2,37.17,"3,068","1,554",721
35.13,36.75,893,309,192
34.73,36.72,"1,321",565,251
13.75,100.52,"8,213","5,888","3,110"
13.6,100.6,"1,093",138,47
6.17,1.35,"1,453",562,192
36.8,10.18,777,644,505
37,35.32,"1,423",907,402
39.92,32.83,"4,074","2,561","1,341"
36.89,30.7,877,370,95
40.2,29.08,"1,659",819,325
37.07,37.35,"1,160",595,264
41.03,28.95,"10,953","6,552","2,772"
38.42,27.17,"2,842","1,741",876
37.87,32.52,"1,023",508,244
0.32,32.58,"1,594",755,340
48.45,35.04,"1,003","1,162",872
48,37.8,965,"1,097",886
49.98,36.22,"1,453","1,586","1,233"
47.91,33.4,749,706,577
50.44,30.52,"2,805","2,574","1,655"
46.49,30.73,"1,009","1,092",899
47.85,35.17,775,873,664
24.46,54.36,869,331,62
25.27,55.33,"1,835",473,80
25.35,55.42,914,229,28
52.47,-1.92,"2,273","2,301","2,370"
55.83,-4.25,"1,140","1,217","1,734"
53.42,-3,797,831,"1,276"
51.5,-0.12,"8,923","7,654","7,509"
53.5,-2.22,"2,216","2,282","2,396"
54.99,-1.62,875,877,886
53.7,-1.58,"1,605","1,449","1,726"
-6.88,39.3,"3,415","1,316",357
40.18,-74.58,760,414,364
33.76,-84.4,"4,875","2,184","1,182"
30.3,-97.75,"1,266",569,267
39.31,-76.62,"2,415","1,849","1,555"
33.52,-86.81,759,623,559
42.32,-71.09,"4,772","3,428","3,187"
41.05,-73.53,"1,100",714,705
42.9,-78.85,"1,090",955,"1,084"
35.21,-80.83,"1,088",461,281
41.84,-87.68,"9,545","7,374","7,106"
39.14,-84.5,"1,756","1,335","1,202"
41.48,-81.67,"2,022","1,680","1,954"
39.95,-82.98,"1,369",950,791
32.71,-97.31,"5,143","3,219","2,025"
39.76,-84.2,835,616,684
39.73,-104.97,"2,492","1,528","1,054"
42.39,-83.1,"4,364","3,703","3,966"
31.75,-106.48,813,573,340
41.76,-72.69,982,783,670
21.31,-157.83,848,635,445
29.76,-95.38,"4,785","2,922","1,693"
39.79,-86.15,"1,552",921,821
30.32,-81.66,"1,066",742,531
39.1,-94.61,"1,577","1,233","1,086"
36.19,-115.22,"1,995",708,240
34.09,-118.38,"13,223","10,883","8,378"
38.23,-85.75,"1,021",757,740
26.22,-98.24,824,268,92
35.12,-89.97,"1,165",829,667
25.79,-80.22,"5,971","3,969","2,141"
43.05,-87.96,"1,488","1,228","1,251"
44.96,-93.27,"2,802","2,087","1,706"
36.15,-86.76,951,577,450
29.97,-90.06,858,"1,039",964
40.72,-74.09,"20,104","16,086","16,191"
35.47,-97.52,848,711,533
41.26,-95.94,746,546,492
28.54,-81.38,"1,459",893,310
39.95,-75.16,"5,841","4,725","4,396"
33.44,-111.95,"3,830","2,025",874
40.44,-80,"1,965","1,681","1,845"
45.52,-122.68,"2,025","1,181",829
41.82,-71.41,"1,373","1,047",936
35.82,-78.64,803,310,153
37.54,-77.46,984,696,519
33.95,-117.4,"1,882","1,178",586
43.17,-77.61,814,621,601
38.56,-121.47,"1,730","1,104",637
40.75,-111.89,"1,040",792,483
29.45,-98.51,"1,585","1,134",776
32.78,-117.15,"3,120","2,356","1,209"
37.76,-122.44,"3,681","2,961","2,529"
37.3,-121.87,"1,790","1,376","1,009"
47.63,-122.33,"3,298","2,206","1,556"
38.63,-90.4,"2,351","1,950","1,882"
27.97,-82.46,"2,484","1,717",874
32.21,-110.92,891,582,297
36.83,-76.09,"1,598","1,286",930
38.88,-77.03,"4,634","3,376","2,488"
-34.87,-56.18,"1,659","1,546","1,362"
41.32,69.25,"2,213","2,100","1,403"
10.07,-69.33,"1,215",742,384
10.5,-66.92,"3,176","2,767","2,060"
8.37,-62.62,779,460,126
10.63,-71.64,"2,255","1,303",670
10.15,-67.35,"1,089",760,246
10.18,-68,"1,821","1,053",412
10.03,105.78,902,212,92
16.07,108.22,805,388,187
21.01,105.86,"2,809","1,139",617
20.87,106.68,889,463,267
10.75,106.67,"6,189","3,038","1,970"
12.78,45.04,746,326,206
15.38,44.21,"2,293",653,111
-15.43,28.33,"1,719",757,278
-17.83,31.05,"1,526","1,047",417
